,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
0,0.08004588,-0.32810816,0.040079094,0.14516036,0.072067216,-0.20937428,0.28844005,0.40574703,0.25525388,0.14693254,0.031666983,-0.03015296,0.03056364,0.026311448,0.46623385,-0.2914095,0.016564095,0.019277982,0.02835908,0.046416253,-0.012801197,0.082762346,0.024964368,0.066245146,0.10654212,0.14856964,0.12057967,0.22001067,0.17712754,0.12727864,0.1363473,0.297217,0.07605002,0.11093946,0.18078178,0.24331656,0.117898256,0.2681472,0.059597474,0.18103492,0.3630894,0.14342766,0.42192593,0.34510964,0.29867396,0.3752878,0.43485627,0.27461168,0.3455103,0.35481358,0.26526287,0.28687304,0.14799567,0.23182037,0.3142543,0.30052218,0.38859013,0.35801092,0.18844658,0.31601703,0.31007707,0.4415632,0.5066875,0.4655981,0.57892835,0.41015834,0.4858209,0.15939698,0.5945424,0.30509794,0.682906,0.5689825,0.4339261,0.47714877,0.83541954,0.6836284,0.56835324,0.5081141,0.8680671,0.7859372,0.85606027,0.6520895,0.7366513,0.525797,0.6356756,0.84442186,0.8685643,0.7617316,0.8219626,0.6781101,0.7362942,0.8935614,0.5304705,0.7241564,0.71969354,1.0223182,0.7524901,0.91170555,0.8956977,0.57716113,0.91746056,0.92935467,0.766902,0.83901083,1.2298926,1.116236,1.0244321,0.9383987,1.030791,1.3106916,1.5189743,1.4047164,1.3858129,1.3913518,1.4466491,1.4339004,1.5998449,1.4336096,1.6944106,1.402347,1.7636452,1.611003,1.7812052,1.8497084,1.918577,2.003917,1.8721552,2.096804,2.0583315,2.098266,2.5661829,2.4550042,2.2240372,2.3880253,2.6261744,2.651697,2.761055,2.8281794,2.8088784,2.9611464,2.9082403,3.4079244,3.2567468,3.263498,3.658977,3.2957973,4.4508796,4.284372,4.3985434,4.7956147,4.8858857,5.0293465,5.188139,5.5125823,4.9030805,5.3533573,5.1494627,5.5487866,5.729804,5.909363,6.1134305,6.1751785,6.203136,6.0244436,6.869951,6.857231,7.2539973,7.69438,7.8459215,8.237605,7.8935204,8.199527,8.153362,8.209132,8.129931,8.462726,8.552494,8.304318,8.776611,8.811952,9.0745125,9.349419,9.972438,10.3968935,10.866349,10.49647,8.908629,8.866701,7.9008837,6.9781733,6.3871264,8.28252,9.111888,9.089731,8.541242,9.523366,10.125149,11.036741,12.365258,11.4297285,10.718467,11.015311,10.45098,10.748966,11.802268,11.267303,12.099506,11.618316,10.491713,9.556557,12.408296,11.10497,11.561616,11.3804035,13.318235,13.752848,13.725088,15.97288,15.671047,16.311485,16.420584,16.143951,17.715166,17.548857,17.60682,17.707466,16.008595,16.96067,18.292513,18.122272,18.251652,16.711136,17.975435,18.252136,20.0456,19.735508,20.88628,23.304306,22.891384,21.6359,22.785585,22.415905,22.317352,22.099201,21.539873,22.129625,22.926212,24.037758,23.702497,23.12195,24.21264,24.490793,20.855947,14.911238,14.424823,10.986724,8.896677,8.064648,8.916102,8.169555,16.428102,16.0159,20.288519,23.180105,24.986855,26.414774,24.659468,25.609776,26.56436,20.199314,17.591984,20.575586,17.909834,17.824545,20.08218,22.248026,24.284615,29.737495,31.326693,34.8848,36.490025,39.43301,36.629,35.232773,35.969173,31.434475,30.692877,31.685461,29.902014,30.766819,35.569695,39.719727,42.734344,45.444225,45.45079,44.61122,46.314247,44.129097,47.105213,43.26383,45.846073,44.890564,45.288013,48.7467,50.541206,52.499825,57.86053,57.055233,59.622284,57.297718,60.293156,60.123966,58.665264,60.37816,59.406456,59.94849,62.550762,64.524574,67.20518,65.3599,68.70403,68.398964,68.832405,71.23657,73.28352,74.43557,74.34301,75.95282,78.0962,76.67161,79.725395,79.82294,78.44484,81.75742,84.72203,83.63615,84.084816,84.385345,85.96605,84.726654,87.493454,88.18115,89.15027,89.95089,91.65715,92.09528,93.4113,95.11145,95.244965,94.6352,97.85231,98.85582,100.804085,101.02604,103.09254,104.281136,103.97556,104.70211,105.38423,104.15669,108.03872,106.41326,107.19165,107.92041,108.45157,109.99538,110.008514,110.885254,112.32538,113.78662,115.41852,117.396515,116.77603,118.4356,118.793335,119.057915,119.86828,121.12092,120.9888,121.301765,122.01232,121.81577,123.76771,122.184875,123.17927,122.78088,123.42816,123.71373,122.44755,125.09492,126.886536,127.762596,129.64935,128.91957,129.80722,131.03148,131.52905,133.30229,134.42043,133.7173,134.30498,136.47491,137.25925,137.2971,137.82552,133.23755,133.34776,133.77866,133.83081,133.73276,135.86496,136.38538,136.62076,141.54916,141.91235,142.05855,144.14162,143.8238,142.65709,142.2256,141.86345,141.13873,140.37941,139.35777,138.37898,140.16794,140.57054,141.88799,143.54991,143.78891,144.46037,144.57735,144.6925,145.76785,148.30441,148.41692,148.76236,148.7593,146.99094,148.63512,146.18875,143.69069,141.95558,138.12802,139.93155,138.82886,139.19511,140.54338,142.67236,148.59901,151.24457,153.64836,157.16353,160.80165,160.63513,162.33948,160.22974,156.5533,157.62659,157.58015,158.25194,158.26553,158.31754,158.91225,159.93619,159.0214,159.05148,161.8242,155.92828,156.81065,156.04701,156.91064,155.60263,146.12097,140.53041,135.6419,127.439384,117.01457,111.36235,113.12043,113.848,116.87761,121.04721,124.747375,124.4037,131.97205,139.30814,136.85242,132.94325,128.94048,119.96151,110.88952,99.001724,99.25075,93.39726,88.12464,90.47805,89.77372,96.0451,101.07516
1,0.45017302,1.6054753,-0.5203269,0.12515691,-0.3573824,0.85775894,-1.7082425,-1.365026,-1.1485378,-0.4920277,-0.06069815,0.16943459,0.3710109,0.18661903,-1.842279,1.5483798,-0.2276478,-2.112238,0.23865415,0.35461974,0.3407235,0.055412102,0.55774444,0.341857,0.06554139,-0.3953011,-0.2582505,-0.051176015,-0.22345625,0.31097603,0.847844,-0.66955113,0.32917446,0.036025126,-0.5322029,-0.71385944,0.21244878,-0.70693266,0.4581368,0.15506814,-0.9226813,0.3200805,-0.7154574,-0.5668915,-0.7825895,0.5741621,-0.34555054,-0.09783022,-0.17445761,-0.33821973,0.21521918,0.20698626,1.5928837,0.3939596,0.0044808746,0.5578446,-0.23412958,0.28029752,-0.43670493,0.17428812,0.9244764,-0.17747445,0.36075798,-0.16727714,-1.1017221,-0.030381713,-0.37591392,1.9853494,-0.7061477,-0.0963034,-1.3697404,-0.8618694,0.5778221,0.75420207,-0.42866066,-0.43591997,-0.004820536,1.0901105,-0.65133554,-0.44074768,-1.4213202,-0.18622349,0.11043973,0.7844363,-0.27274033,-0.7211376,0.41849822,-0.3406217,-0.7277909,0.21291831,0.1574159,-0.013990287,1.0257618,0.957184,0.27558044,-1.3043926,0.2879836,-0.3082803,-0.3197049,1.379866,-0.4031432,-0.16824745,0.84553885,0.81468666,-1.9507571,-0.9296476,0.48046872,0.52668643,0.27989757,-1.1025507,-0.60879016,-0.50431967,0.45930403,-0.3537136,-0.1254208,0.9538145,-0.88836604,-0.3531925,0.38967898,1.0373198,-0.22435077,0.55344003,0.22637877,-0.047658253,-0.021666966,-0.094783224,-0.6155228,-0.7709085,0.5540723,1.1089983,-1.8578746,0.07474265,0.89649135,-0.16348444,-0.15241031,0.16423014,-0.9764368,-0.88525325,0.04270011,-0.0043215547,1.3226786,-1.3659155,0.5573154,0.91571766,-0.32433677,0.11120757,-0.88279873,-0.49487886,-0.46070528,-1.3895441,-0.9940981,-1.2478255,-1.3504826,-0.035025503,1.5827003,0.25523117,1.744163,-1.5090469,-0.32769963,-0.7894272,0.1911176,0.37185702,0.21016961,1.1792003,-0.3638271,-0.35457575,0.15818815,-0.4180977,-0.45680693,-2.0498188,0.97871596,-0.52424794,-0.5566851,-0.6413089,0.92445314,-1.5397137,-1.0738726,0.29077336,-0.01902159,0.7234112,-1.6790402,0.57396024,0.0066043115,-0.21756943,-0.79867554,-0.20836067,0.08802651,-0.8515565,1.6236322,-2.0593624,-0.21096456,-1.1884224,-3.1657536,-1.6065285,-2.0634074,-0.5829452,-1.7547736,-0.710898,0.3044829,-0.3900961,0.111048244,0.39090267,0.29455528,-1.279248,-0.09887908,0.8713841,1.37296,1.1319044,-1.1467377,1.5827777,-0.7910304,-0.18476251,0.72153866,-1.5703981,-0.5522501,0.5017894,-0.6157994,0.30074304,-0.7840778,-0.17015983,-2.0111578,1.9266049,0.39950925,1.2565988,-0.6012349,-0.11414745,1.5277615,-0.11903139,-1.5843511,-1.2040193,-1.9049969,-0.50922763,0.087164976,0.5016013,-0.55657774,0.49688143,0.23564532,0.7602816,-0.6430553,0.29777458,0.95105296,1.06967,-0.40197843,-0.5593581,1.6412833,-0.744094,-1.2990144,0.34857443,0.6499077,0.30143398,1.89334,-1.0373242,1.2293164,0.54032934,-1.3674694,-0.12808,-0.014034542,-1.9586678,0.50924253,-1.8937372,-0.13606592,0.5853931,0.23570521,0.5360039,1.1313924,1.8929646,0.88529915,-0.22786908,0.4158473,0.2964497,0.18439795,0.68023384,-1.6173888,-2.4922006,-2.512139,-0.28773192,-2.0813005,0.105099194,-1.2703015,0.26776823,0.69550145,1.2553387,0.3623534,5.9996233,11.127607,18.307735,18.866423,21.95761,28.405548,28.12995,32.119183,33.60139,35.71199,35.88709,37.59962,36.402534,31.151577,28.398594,27.395878,25.205887,23.09009,23.946571,24.425081,23.936626,25.019777,28.29087,26.9803,34.69877,38.994354,44.229774,47.58495,53.880867,58.62579,66.40956,70.98314,74.91771,77.49476,76.973335,78.65811,78.86251,81.262985,80.86563,81.236885,77.828606,80.54552,78.555145,77.22527,75.41796,75.47183,76.58049,78.40376,79.505936,80.270615,86.10044,89.32727,92.026764,92.933525,100.985146,105.79399,111.07922,115.574715,117.48069,120.08738,125.19869,125.24663,129.74075,131.07115,132.19658,132.84006,130.86006,132.6218,131.24144,132.728,127.84617,128.5804,126.55986,130.2696,129.99994,132.75479,134.52888,138.09167,141.66922,142.0597,147.09715,150.18689,156.14484,161.0685,165.72346,168.62233,174.45712,175.27061,175.76546,180.51237,181.29117,183.39662,184.48938,183.3381,183.33504,184.93843,185.21269,181.97751,181.68643,183.10013,185.85567,183.81007,185.70699,187.84694,190.16617,193.10367,196.8114,197.61234,206.5491,206.0387,212.69589,212.52362,215.56378,218.99141,221.89955,222.20389,227.95299,225.5969,228.4412,226.92088,231.48735,233.13266,230.42557,232.79099,231.53146,234.06602,231.06525,231.669,230.66234,234.36803,232.63623,232.73251,237.26283,238.00938,241.73523,242.7883,247.79916,250.62395,251.7011,252.45546,252.45757,259.52573,262.16125,262.25604,265.42102,265.4348,266.16788,268.6154,267.97662,265.71802,270.1776,268.03635,266.97522,265.03784,265.02734,266.46228,264.83743,269.1301,268.88043,269.94412,268.74597,270.49847,273.35046,275.41537,278.3433,277.62064,273.67374,278.92578,275.82504,279.05243,282.26285,284.97427,285.1117,286.9612,286.78604,285.156,286.46945,287.2488,286.15112,289.84232,288.12082,287.03052,288.04324,287.8347,284.82224,287.8361,287.027,282.57346,285.69226,284.5503,287.50064,286.06833,285.71854,284.33682,290.45932,290.4427,291.07468,289.7454,292.6938,292.78296,294.76865,299.34024,296.498,289.7672,291.7864,291.64246,291.48273,295.0513,291.93765,293.9939,294.71484,291.07196,295.9107,294.2626,294.95966,292.0369,295.16754
2,0.79684526,-0.567023,0.11312626,-0.73190045,0.15995258,-0.8190974,1.5871253,0.50500655,0.32381895,0.16845164,0.3078504,-0.4798,-0.40990627,0.035802875,0.26737788,0.35026965,-0.48454058,0.786434,-0.046321962,-0.1213601,-1.1777864,0.037622027,-0.012614069,0.20342198,0.0020626667,0.18405688,-0.62326086,0.3278969,0.47576585,0.5120049,0.10565312,0.19888523,-0.099278614,0.57951146,0.0077273995,-0.212313,0.34287447,-0.1720329,0.74525714,-0.40060666,1.3550198,0.043877758,0.10001236,-0.1534398,0.6166281,0.3347022,0.12531276,0.1944497,0.46202865,0.9801811,0.22713323,0.55991334,-1.7748924,0.40898478,0.07138523,-0.10191273,0.60039485,0.03698341,-0.17304282,0.5732312,0.02826539,0.71850264,0.035631742,0.11897329,0.81243014,0.87887585,0.28752685,-0.9039287,-0.17729332,-0.29683357,0.44845283,0.09759937,-0.34952673,-0.025543034,0.010792655,-0.33105972,-0.07671886,-0.7581262,1.4784654,0.6360676,1.6498936,0.1705788,0.19590919,-0.5600024,-0.21218348,0.21473587,-0.6698061,0.6977943,0.4636384,0.06571855,0.86149615,0.8450344,-0.61712235,0.50306433,-1.1302392,2.0159583,0.07003669,0.97134924,0.12453458,0.38677207,0.390662,0.35888615,0.08608593,1.2123238,1.1069475,0.04617413,1.2996258,1.1398951,0.23727736,2.0014548,0.60571074,0.9758353,0.48601362,0.5295175,0.11432523,0.10699401,1.132782,0.6597806,0.49738282,-0.7997813,1.0162041,0.5905234,0.8766501,0.74682224,1.1547471,0.9348324,0.42052275,0.11084832,1.9174969,-0.28065494,1.7691029,1.1330428,0.80999607,1.1428258,0.72196907,0.4086527,1.0037661,0.59489286,1.3239186,0.66864336,0.6689946,1.5483544,1.4334592,0.9976904,0.60600746,1.583447,1.6278753,0.91680986,0.890645,1.550997,0.11176972,1.1594173,1.6922743,0.91029155,-0.39336067,-0.31908044,0.6373402,1.1365232,1.9794936,1.5158089,1.1447703,2.789789,0.1218095,1.289531,1.5039034,0.38253376,0.24798636,1.6786022,0.99334717,2.6387267,1.125807,0.93685603,1.4776843,1.5027725,0.67321056,1.7080162,1.8931642,1.3398714,0.5250499,0.702209,0.6250515,0.74136704,1.0400585,1.6061481,1.9193628,0.33489248,1.7855378,1.4668897,0.65923244,2.9864347,1.5371281,2.2378895,2.6359065,2.2892463,1.6743865,2.187917,3.4080544,2.6760812,2.4819732,2.2749724,2.8825781,2.1422448,2.1319983,2.6012304,2.8602521,1.0672653,1.2678716,1.1708499,1.9329128,1.9105,3.3908646,2.7573597,2.6728363,3.5765967,2.663612,2.8225245,2.9804902,-0.14076486,2.254477,1.1417866,2.2224925,0.72721714,1.2613018,0.9256872,2.7926297,2.371644,3.5442808,3.3256638,2.5898232,4.2760143,3.9427385,3.6080284,3.0455568,3.0450022,4.161949,2.8137066,2.293423,2.2990606,3.3131664,2.4363096,4.0638704,2.4732575,4.027179,4.6886377,3.3721223,4.627828,4.7229457,4.8705773,4.060437,5.0846195,4.831562,5.1443152,4.665229,3.873397,5.304087,4.579522,4.0542135,5.8013415,3.8687294,5.186073,4.5228148,4.354194,3.983866,5.088384,4.59553,4.613435,5.2339487,6.150768,6.972817,5.203377,5.633563,7.406828,7.401651,8.236149,8.734592,7.5512676,8.690582,9.993389,11.570856,11.929617,13.509294,13.9669485,16.536512,16.885622,18.643438,18.990654,20.316708,18.99965,18.773579,20.649727,20.151842,21.567936,22.209913,24.281603,22.091879,25.881613,27.209259,27.350002,26.477032,26.620031,28.547346,28.510887,29.464224,29.36919,30.810846,30.988462,33.947556,33.89125,36.4641,37.712963,38.906845,40.111485,40.36316,40.73129,43.155346,44.767467,44.30468,46.900005,48.79195,49.91756,49.73062,51.30266,50.85271,54.13589,51.70323,53.963375,53.990368,54.61743,55.905796,56.31569,56.251957,58.054558,60.718678,60.00586,61.53437,61.91539,64.33457,65.90561,67.93839,68.84683,69.56846,69.62862,70.56179,69.83406,73.0259,73.66375,74.437416,76.092354,78.08854,79.28777,79.596275,80.19129,80.5626,81.79047,81.532715,81.98113,81.813545,82.55233,84.30032,84.98245,85.924706,85.61871,87.66018,90.02097,91.42221,92.81525,95.37848,97.48769,99.1049,97.25781,98.88638,102.95032,102.69099,103.83582,104.725876,104.80149,105.84561,103.55146,105.18782,105.36143,106.656555,108.67128,106.49587,108.0314,111.562965,111.055626,111.962845,113.569305,114.23132,116.15724,118.73947,115.51284,120.71154,119.88468,121.50168,122.13688,122.16783,123.66184,125.923386,125.59682,126.069885,128.05948,129.0118,129.46663,129.5225,130.2341,129.95192,130.99202,130.93387,131.64137,130.37772,132.1974,133.60426,133.7346,134.64949,133.9612,136.19528,138.30556,139.4151,140.60544,140.90579,140.43507,142.83385,143.34477,143.22011,144.41997,145.59378,145.65564,144.71416,147.00587,147.51367,148.80957,150.01694,148.35823,148.22849,147.58873,147.45592,148.3219,148.41037,147.98163,148.4029,149.80081,148.94235,151.806,153.19412,154.08107,153.38364,156.81674,156.51552,157.69104,156.49945,159.88432,159.65532,158.09042,156.31863,160.63036,158.87694,160.21353,161.62044,159.6462,159.26929,161.80359,160.34229,160.92882,161.56306,164.52528,160.61673,163.04251,164.10112,164.11194,163.76071,164.19876,164.01204,165.78119,165.97638,167.59906,169.8359,168.09453,171.87411,169.53108,172.65125,172.26173,170.9578,171.0876,170.63167,171.21587,170.17056,171.83289,168.5009,168.30948,167.17203,166.09167,169.12225,173.33363,175.38309,175.98004,174.59799,174.5231,176.85022,176.74586
3,-0.17821203,0.31179386,0.48430768,0.40432915,-0.27170578,0.4942779,-0.7123899,-0.32615933,-0.15597187,0.005704099,0.14530276,0.82450736,0.38228387,0.07950476,-0.061924864,-0.841446,1.0245239,1.0731683,0.7837757,-0.26299742,-0.020122906,0.3700707,0.049642205,-0.06967477,-0.43029836,0.09444012,0.7508368,-0.3864238,-0.21650481,0.31268042,-0.12431597,1.0494182,0.43463933,-0.34938064,0.38850722,0.23719539,-0.71465933,0.4563574,-0.405093,1.1125985,-1.6697596,0.08347217,-0.6294582,0.64687943,-0.28461695,-0.24199551,-0.5913196,-0.6288079,0.053207435,-0.8579352,-0.71842307,-0.11850324,-0.51156133,-0.38600394,0.5808019,0.07730062,-0.45534286,0.09380822,-0.15377302,-1.1425278,-0.16938552,-0.32670277,-0.23086047,0.14112051,-0.30404818,0.051009797,-0.23259777,0.8571187,0.8498852,0.9626984,0.682468,0.79511493,0.56128544,-0.062539786,-0.36581337,-0.16623878,0.461478,0.5678143,-0.49227878,-1.384993,-0.052679256,0.54140365,-0.6045864,1.110675,0.3512595,0.2599818,0.13291465,0.109920576,-0.20664105,0.056056313,-0.329297,-0.06929283,0.4674095,0.15119125,-0.21553472,-0.65694994,0.30521062,-0.5665703,-0.058921054,1.1592119,0.84785813,0.05801154,0.8755658,-0.25370345,0.020113843,1.4480141,-0.7554377,0.22064672,-0.42551294,-0.7729546,0.87038946,0.14409773,0.11870176,0.29025865,0.9991832,0.30884898,-0.3776511,-0.2680212,0.33610114,0.8577777,0.20772287,0.5857178,0.42299923,0.5620149,0.14037658,0.9016882,2.2880824,1.8014872,0.36795148,1.8406827,1.2143974,0.757475,1.541833,1.4760906,1.7566993,1.3688012,1.0135967,2.171858,0.6764423,1.3971853,1.5409784,0.6280371,2.1818523,0.9574621,1.9488689,2.14781,0.5578628,2.004693,2.320154,2.3869767,2.8398943,4.020576,3.059998,2.7265348,3.0842056,3.3662333,3.121292,4.7623515,2.250686,2.7974732,3.4175963,1.2341858,3.3580368,2.44106,2.1191757,3.590581,3.2792664,2.0988348,2.3711684,1.8574395,3.3390915,2.9464998,2.4192717,2.120483,2.5470212,1.9405358,2.6440067,1.0002759,3.5330946,2.7993927,3.9159951,3.2607057,2.8819582,2.336377,2.8250544,4.443352,3.105238,2.8035817,3.324146,3.255695,4.511916,3.5012374,3.191521,4.80099,5.546921,4.010061,3.6739008,4.1201315,3.47601,4.1518435,3.7456028,3.8960125,4.335319,3.002984,3.1167517,5.202681,4.5747304,4.9189053,7.3653803,5.452536,4.13596,5.7295675,5.953297,5.9236197,7.623518,6.917693,6.2118735,7.5544014,6.0867295,6.565023,6.283271,4.323456,5.6922245,5.22229,6.0998416,4.7715573,5.2161407,6.1329627,8.225836,5.3169603,7.8926125,6.600896,7.716406,7.4635177,8.179649,8.102878,10.207638,8.427604,8.689415,9.067748,7.922216,10.24646,9.58723,9.245464,9.155713,9.877945,9.032994,9.137585,9.771056,8.208877,6.4293737,9.155779,9.271004,8.763619,8.208011,8.654594,8.357667,9.752711,10.307399,8.403193,10.242347,10.217959,11.218847,9.910229,10.537715,10.987578,11.529804,10.877797,11.041504,14.529807,13.564291,13.190548,15.348121,14.502065,15.874631,16.720177,17.699677,17.516571,19.530804,19.57922,19.423674,20.463415,22.060959,22.620327,25.01425,22.482914,22.862629,24.98251,24.353724,25.862602,25.584618,26.301632,27.034492,26.870611,29.411533,29.95239,30.554739,31.261683,31.688812,33.765144,33.51284,35.79784,34.979713,36.962635,38.432827,39.129375,41.617622,42.042477,41.4173,43.630997,45.765503,44.789146,44.750145,46.033924,47.870403,46.407066,47.735397,47.42327,49.488598,50.652103,50.809334,53.023357,54.297146,53.445774,55.815483,55.463947,57.3429,58.005505,57.218655,59.392517,62.026733,62.06812,63.307556,64.488815,65.128685,68.26321,67.31022,69.5638,69.19974,70.28386,69.60258,70.78003,73.380394,72.97786,73.282425,73.38445,75.83872,77.66479,76.101135,77.65106,79.57667,80.37711,82.887634,83.43346,84.28751,85.78457,84.19912,88.04409,87.0964,87.96668,90.27787,89.775406,89.17581,93.340546,92.61827,91.77381,93.892845,96.30362,96.96034,97.40755,98.18857,98.01241,99.047005,101.76598,101.432816,101.42744,102.34851,103.15665,105.3672,105.00736,106.951836,107.00061,107.45901,108.19583,108.070404,110.65646,111.83273,113.62324,112.44261,114.1101,115.324715,116.76702,115.60464,116.08215,117.441536,118.29778,120.07696,119.88045,120.51148,121.66572,123.019714,122.08837,124.71057,123.43106,124.3096,125.19181,124.98369,125.50326,126.32554,128.3192,127.21508,126.8272,127.034676,130.9943,129.7301,130.7418,132.40121,132.04498,134.83734,132.19757,133.64558,134.29572,136.54652,135.16708,135.00243,134.13248,135.61404,133.9657,138.30226,135.40475,136.45567,136.03607,140.13365,136.21098,137.19937,137.49277,135.81148,138.93784,138.12907,139.34906,139.1999,142.46509,137.49977,140.585,140.9993,141.38579,144.40395,143.0617,145.36479,146.76622,149.14745,146.37459,146.79161,147.17044,147.25134,147.95045,146.56381,152.2687,150.44551,148.1009,146.7394,147.88554,148.57088,149.7336,150.62411,152.0647,149.93909,149.95503,152.55191,150.03716,151.97296,151.02345,150.95087,154.1392,154.23906,153.34923,155.07451,153.90508,154.63066,155.2887,154.97546,154.46024,152.88745,153.06439,155.76654,155.25162,156.08208,156.55295,156.11371,151.72289,147.80301,146.22704,146.18878,148.19104,146.97371,147.68066,147.57713,144.99976,144.6328,148.05406
