,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
28,0.0,0.000384323,1.53921e-14,0.0418722,7.47858e-15,0.0010010625,9.309995e-15,0.0233288,2.67555e-15,0.1446915,0.165352,0.13859749999999998,0.184479,0.138069,0.183299,0.143931,0.135042
29,0.0,0.000513325,3.50558e-15,0.0473695,1.257945e-14,0.00101684,1.19761e-15,0.0307391,9.20386e-15,0.147163,0.169854,0.142534,0.188673,0.141258,0.189794,0.146029,0.138133
30,0.0,0.00124071,7.08913e-16,0.0511342,1.0915e-14,0.00125897,2.06849e-14,0.0341003,1.84091e-15,0.148083,0.174175,0.1441,0.192886,0.14352,0.196621,0.14777,0.139423
31,0.0,0.00407725,4.57986e-15,0.0575405,4.79826e-15,0.00130396,1.14476e-14,0.0420212,1.56389e-15,0.148894,0.178356,0.145111,0.197647,0.144939,0.202363,0.149293,0.140206
32,0.0,0.00345843,1.50302e-14,0.0618973,1.01346e-14,0.00135585,5.01513e-15,0.04908835,9.206794999999999e-15,0.15059250000000002,0.182722,0.145943,0.203314,0.145898,0.2154385,0.150924,0.14187650000000002
33,0.0,0.00433116,5.55293e-15,0.067673,1.1202469999999999e-14,0.00158638,1.0736e-14,0.0589965,4.15162e-16,0.153573,0.19078450000000002,0.146939,0.209952,0.146853,0.231947,0.153532,0.145227
34,0.0,0.0052234,1.44241e-14,0.07655,1.95124e-14,0.00153933,1.05599e-14,0.0634523,3.41649e-15,0.156483,0.200499,0.14842,0.217556,0.1494355,0.24508,0.157195,0.147712
35,0.0,0.00619783,5.5003549999999994e-15,0.0866714,2.16297e-15,0.001748435,9.69548e-16,0.0727804,2.64094e-15,0.162546,0.208409,0.15217,0.225731,0.153953,0.259775,0.161881,0.15314450000000002
36,0.0,0.0078385,7.00286e-15,0.0922186,1.04284e-14,0.00193634,6.207354999999999e-15,0.0759281,1.96625e-14,0.169974,0.216918,0.157647,0.234068,0.158425,0.275377,0.167378,0.159914
37,0.0,0.00876359,7.95599e-15,0.0994755,3.8374399999999995e-15,0.0019849,4.17008e-15,0.0856551,7.76354e-15,0.175573,0.225753,0.162217,0.242594,0.163702,0.291483,0.173667,0.165104
